76.7,-55.491,-57.024,-40.65,-44.714,-44.452,-35.453,-42.561,-36.431,-38.534,-36.72,-34.611,-36.444,-23.125,-16.829,-9.4485,-6.9448,-7.9088,-6.9151,-10.188,-16.166,-30.904,-44.541,-44.437,-37.29,-33.622,-39.715,-56.849,-42.656,-42.777,-43.989,-40.562,-47.381,-48.564,-49.824,-46.865
76.75,-54.443,-52.172,-40.281,-45.466,-44.731,-35.17,-42.462,-36.611,-38.434,-36.755,-34,-35.976,-22.535,-16.859,-9.6464,-7.0904,-8.1057,-6.9099,-10.208,-16.011,-29.836,-46.146,-45.586,-38.262,-33.561,-39.261,-54.207,-42.289,-42.105,-43.768,-38.375,-45.767,-53.994,-48.981,-48.214
76.8,-55.436,-55.745,-41.154,-46.006,-45.83,-35.848,-41.465,-37.207,-38.576,-37.09,-34.454,-36.72,-23.295,-17.028,-9.9885,-7.3781,-8.3502,-7.1368,-10.448,-16.034,-29.808,-48.016,-44.667,-39.456,-33.364,-40.342,-56.216,-42.452,-41.588,-43.972,-42.249,-46.872,-51.846,-50.11,-49.194
76.85,-52.773,-52.209,-41.281,-44.625,-45.73,-35.717,-41.953,-36.993,-37.975,-37.277,-34.236,-36.436,-23.139,-16.705,-9.8438,-7.2236,-8.2216,-6.8315,-10.147,-15.692,-30.472,-43.491,-46.027,-39.166,-33.091,-40.43,-59.251,-41.076,-40.424,-42.595,-40.241,-49.461,-53.701,-49.505,-47.474
76.9,-53.452,-54.946,-40.729,-43.953,-45.847,-35.183,-41.57,-37.444,-37.841,-36.773,-33.453,-37.257,-23.079,-16.685,-9.4872,-6.8816,-8.0597,-6.5752,-9.7863,-15.546,-30.875,-39.306,-44.891,-38.466,-32.806,-41.544,-52.892,-40.919,-40.075,-42.446,-40.042,-47.762,-50.223,-48.892,-47.977
76.95,-52.382,-55.581,-40.764,-44.447,-47.69,-35.528,-42.059,-37.824,-37.51,-37.026,-34.034,-38.028,-23.747,-16.544,-9.0957,-6.5861,-8.0785,-6.4543,-9.6401,-15.632,-31.303,-38.211,-43.772,-38.508,-32.467,-40.715,-54.551,-39.965,-39.774,-42.326,-39.824,-52.069,-49.925,-49.552,-48.31
77,-52.536,-57.457,-41.077,-43.718,-48.034,-35.453,-42.768,-37.345,-37.013,-36.875,-34.692,-35.861,-23.426,-16.359,-9.0817,-6.434,-7.8085,-6.4462,-9.5376,-15.58,-30.896,-38.549,-45.209,-38.839,-32.854,-40.451,-53.465,-40.147,-39.152,-42.655,-39.861,-50.347,-51.081,-49.35,-47.393
77.05,-54.931,-58.565,-41.282,-43.213,-47.6,-35.708,-42.287,-37.026,-37.055,-37.3,-34.75,-35.508,-23.173,-16.453,-9.3341,-6.724,-7.9042,-6.8193,-9.7949,-15.664,-30.197,-40.102,-43.252,-39.668,-33.133,-41.083,-51.804,-40.969,-39.355,-41.91,-41.698,-53.472,-47.977,-49.711,-49.756
77.1,-56.261,-58.893,-41.386,-43.322,-50.073,-35.564,-41.824,-37.575,-36.908,-37.65,-34.636,-35.638,-23.448,-16.168,-9.2357,-6.7664,-8.0015,-6.939,-9.9229,-15.448,-29.736,-41.864,-41.824,-40.962,-32.789,-40.904,-49.479,-39.694,-39.29,-43.112,-40.876,-49.661,-48.908,-51.429,-49.984
77.15,-55.134,-60.397,-41.015,-43.234,-49.604,-35.247,-41.538,-37.435,-37.111,-37.351,-34.241,-34.933,-23.714,-16.332,-9.3372,-6.7227,-8.0308,-6.8525,-9.8769,-15.271,-29.918,-40.469,-42.589,-41.084,-32.837,-41.644,-48.459,-40.557,-39.255,-42.766,-42.724,-50.47,-50.259,-49.057,-49.652
77.2,-57.681,-58.686,-40.882,-43.216,-47.754,-35.233,-40.902,-37.964,-36.958,-37.535,-33.265,-36.549,-24.004,-16.537,-9.3783,-6.7561,-7.8201,-6.5976,-9.765,-15.334,-30.747,-38.794,-43.116,-40.154,-32.657,-42.122,-47.635,-38.694,-38.965,-41.813,-41.228,-52.428,-49.182,-51.158,-49.463
77.25,-55.425,-62.911,-40.627,-42.601,-49.887,-35.109,-40.972,-38.196,-36.393,-37.848,-33.858,-36.688,-23.912,-16.059,-8.9975,-6.51,-7.7548,-6.2082,-9.3856,-15.097,-30.613,-37.188,-45.023,-39.413,-31.855,-41.712,-46.029,-38.638,-38.242,-42.813,-42.17,-51.9,-49.309,-49.423,-47.676
77.3,-54.285,-67.142,-40.688,-42.203,-50.722,-35.068,-41.594,-38.034,-36.201,-37.712,-34.139,-35.662,-23.75,-15.824,-8.7348,-6.3237,-7.8398,-6.0464,-9.1243,-14.835,-30.093,-36.044,-45.394,-39.153,-32.145,-41.366,-45.774,-38.229,-38.17,-41.679,-41.899,-52.781,-49.039,-49.725,-48.942
77.35,-58.241,-65.462,-40.798,-42.074,-50.115,-35.279,-41.478,-38.032,-35.848,-37.326,-33.843,-36.009,-23.651,-15.746,-8.8275,-6.3065,-7.7482,-6.1953,-9.1786,-14.79,-29.224,-36.316,-42.466,-39.549,-32.034,-42.331,-45.666,-38.629,-37.517,-43.183,-42.291,-50.178,-47.32,-51.072,-48.686
77.4,-58.247,-62.552,-40.452,-42.542,-47.753,-35.463,-41.415,-38.559,-36.126,-37.326,-34.249,-35.286,-23.249,-15.485,-8.9657,-6.4488,-7.7287,-6.4401,-9.3094,-14.678,-29.001,-36.842,-41.815,-40.358,-32.491,-41.615,-46.528,-38.745,-37.63,-41.699,-44.564,-54.229,-46.679,-52.945,-50.706
